DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.578589	57	8	2	1	4	1	1	0	914	4	0	4.09929	0	0.0003
UL	0.578696	57	8	2	5	6	1	1	0	1694	5	1	4.08944 	0	0
DL	0.578875	57	8	3	1	6	1	1	0	1373	4	0	4.21873	0	0
UL	0.578982	57	8	3	7	6	1	1	0	1373	4	0	4.28476 	0	0
DL	0.579125	57	9	0	1	6	1	1	0	1373	4	0	4.51233	0	0
UL	0.579232	57	9	0	7	6	1	1	0	1373	4	0	4.40207 	0	0
DL	0.579375	57	9	1	1	6	1	1	0	1373	4	0	4.39759	0	0
UL	0.579482	57	9	1	7	6	1	1	0	1373	4	0	4.41149 	0	0
DL	0.579625	57	9	2	1	6	1	1	0	1373	4	0	4.26489	0	0
UL	0.579732	57	9	2	7	6	1	1	0	1373	4	0	4.1789 	0	0.0315472
DL	0.579875	57	9	3	1	6	1	1	0	1373	4	0	4.22861	0	0
UL	0.579982	57	9	3	7	6	1	1	0	1373	4	0	4.48568 	0	0
DL	0.580125	58	0	0	1	6	1	1	0	1373	4	0	4.45543	0	0
UL	0.580232	58	0	0	7	6	1	1	0	1373	4	0	4.54987 	0	0
DL	0.580375	58	0	1	1	6	1	1	0	1373	4	0	4.84005	0	0
UL	0.580482	58	0	1	7	6	1	1	0	1373	4	0	4.64347 	0	0
DL	0.580625	58	0	2	1	6	1	1	0	1373	4	0	4.51225	0	0
UL	0.580732	58	0	2	7	6	1	1	0	1373	4	0	4.66083 	0	0
DL	0.580875	58	0	3	1	6	1	1	0	1373	4	0	4.43336	0	0
UL	0.580982	58	0	3	7	6	1	1	0	1373	4	0	4.61209 	0	0
DL	0.581125	58	1	0	1	6	1	1	0	1373	4	0	4.79213	0	0
UL	0.581232	58	1	0	7	6	1	1	0	1373	4	0	4.61442 	0	0
DL	0.581375	58	1	1	1	6	1	1	0	1373	4	0	4.59718	0	0
UL	0.581482	58	1	1	7	6	1	1	0	1373	4	0	4.42766 	0	0
DL	0.581625	58	1	2	1	6	1	1	0	1373	4	0	4.46513	0	0
UL	0.581732	58	1	2	7	6	1	1	0	1373	4	0	4.49176 	0	0
DL	0.581875	58	1	3	1	6	1	1	0	1373	4	0	4.59986	0	0
UL	0.581982	58	1	3	7	6	1	1	0	1373	4	0	4.50277 	0	0
DL	0.582125	58	2	0	1	6	1	1	0	1373	4	0	4.59374	0	0
UL	0.582232	58	2	0	7	6	1	1	0	1373	4	0	4.69125 	0	0
DL	0.582375	58	2	1	1	6	1	1	0	1373	4	0	4.78773	0	0
UL	0.582482	58	2	1	7	6	1	1	0	1373	4	0	4.86665 	0	0
DL	0.582625	58	2	2	1	6	1	1	0	1373	4	0	4.98698	0	0
UL	0.582732	58	2	2	7	6	1	1	0	1373	4	0	4.97075 	0	0
DL	0.582875	58	2	3	1	6	1	1	0	1373	4	0	5.12749	0	0
UL	0.582982	58	2	3	7	6	1	1	0	1373	4	0	5.17078 	0	0
DL	0.583125	58	3	0	1	6	1	1	0	1373	4	0	5.32432	0	0
UL	0.583232	58	3	0	7	6	1	1	0	1373	4	0	5.08611 	0	0
DL	0.583375	58	3	1	1	6	1	1	0	1373	4	0	4.93359	0	0
UL	0.583482	58	3	1	7	6	1	1	0	1373	4	0	4.82443 	0	0
DL	0.583625	58	3	2	1	6	1	1	0	1373	4	0	4.68961	0	0
UL	0.583732	58	3	2	7	6	1	1	0	1694	5	0	4.67315 	0	0.506444
DL	0.583875	58	3	3	1	6	1	1	0	1373	4	0	4.46245	0	0
UL	0.583982	58	3	3	7	6	1	1	0	1694	5	0	4.47785 	0	0.506444
DL	0.584125	58	4	0	1	6	1	1	0	1373	4	0	4.39252	0	0
UL	0.584232	58	4	0	7	6	1	1	0	1373	4	0	4.41465 	0	0
DL	0.584375	58	4	1	1	6	1	1	0	1373	4	0	4.43219	0	0
